PK,O*NET-SOC Code,Title,Interests Element ID,Interests Element Name,Scale ID,Scale Name,Data Value,Date,Domain Source
66,11-2032.00,Public Relations Managers,1.B.1.c,Artistic,OI,Occupational Interests,3.68,Nov-23,Machine Learning
67,11-2032.00,Public Relations Managers,1.B.1.d,Social,OI,Occupational Interests,4.14,Nov-23,Machine Learning
68,11-2032.00,Public Relations Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,Nov-23,Machine Learning
69,11-2032.00,Public Relations Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.39,Nov-23,Machine Learning
70,11-2032.00,Public Relations Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
71,11-2032.00,Public Relations Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
72,11-2032.00,Public Relations Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4,Nov-23,Machine Learning
73,11-2033.00,Fundraising Managers,1.B.1.a,Realistic,OI,Occupational Interests,1,Nov-23,Machine Learning
74,11-2033.00,Fundraising Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.41,Nov-23,Machine Learning
75,11-2033.00,Fundraising Managers,1.B.1.c,Artistic,OI,Occupational Interests,2.67,Nov-23,Machine Learning
76,11-2033.00,Fundraising Managers,1.B.1.d,Social,OI,Occupational Interests,3.75,Nov-23,Machine Learning
77,11-2033.00,Fundraising Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,Nov-23,Machine Learning
78,11-2033.00,Fundraising Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.72,Nov-23,Machine Learning
79,11-2033.00,Fundraising Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
80,11-2033.00,Fundraising Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
81,11-2033.00,Fundraising Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4,Nov-23,Machine Learning
82,11-3012.00,Administrative Services Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.59,Nov-23,Machine Learning
83,11-3012.00,Administrative Services Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.03,Nov-23,Machine Learning
84,11-3012.00,Administrative Services Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.01,Nov-23,Machine Learning
85,11-3012.00,Administrative Services Managers,1.B.1.d,Social,OI,Occupational Interests,3.71,Nov-23,Machine Learning
86,11-3012.00,Administrative Services Managers,1.B.1.e,Enterprising,OI,Occupational Interests,6.51,Nov-23,Machine Learning
87,11-3012.00,Administrative Services Managers,1.B.1.f,Conventional,OI,Occupational Interests,6.43,Nov-23,Machine Learning
88,11-3012.00,Administrative Services Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
89,11-3012.00,Administrative Services Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
90,11-3012.00,Administrative Services Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4,Nov-23,Machine Learning
91,11-3013.00,Facilities Managers,1.B.1.a,Realistic,OI,Occupational Interests,3.93,Nov-23,Machine Learning
92,11-3013.00,Facilities Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.52,Nov-23,Machine Learning
93,11-3013.00,Facilities Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.64,Nov-23,Machine Learning
94,11-3013.00,Facilities Managers,1.B.1.d,Social,OI,Occupational Interests,3.59,Nov-23,Machine Learning
95,11-3013.00,Facilities Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.54,Nov-23,Machine Learning
96,11-3013.00,Facilities Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.41,Nov-23,Machine Learning
97,11-3013.00,Facilities Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
98,11-3013.00,Facilities Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
99,11-3013.00,Facilities Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
100,11-3013.01,Security Managers,1.B.1.a,Realistic,OI,Occupational Interests,3.4,Nov-23,Machine Learning
101,11-3013.01,Security Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.71,Nov-23,Machine Learning
102,11-3013.01,Security Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.29,Nov-23,Machine Learning
103,11-3013.01,Security Managers,1.B.1.d,Social,OI,Occupational Interests,2.75,Nov-23,Machine Learning
104,11-3013.01,Security Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.6,Nov-23,Machine Learning
105,11-3013.01,Security Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.39,Nov-23,Machine Learning
106,11-3013.01,Security Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
107,11-3013.01,Security Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
108,11-3013.01,Security Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,Nov-23,Machine Learning
109,11-3021.00,Computer and Information Systems Managers,1.B.1.a,Realistic,OI,Occupational Interests,2.56,Nov-23,Machine Learning
110,11-3021.00,Computer and Information Systems Managers,1.B.1.b,Investigative,OI,Occupational Interests,4.42,Nov-23,Machine Learning
111,11-3021.00,Computer and Information Systems Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.5,Nov-23,Machine Learning
112,11-3021.00,Computer and Information Systems Managers,1.B.1.d,Social,OI,Occupational Interests,2.41,Nov-23,Machine Learning
113,11-3021.00,Computer and Information Systems Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.09,Nov-23,Machine Learning
114,11-3021.00,Computer and Information Systems Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.72,Nov-23,Machine Learning
115,11-3021.00,Computer and Information Systems Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
116,11-3021.00,Computer and Information Systems Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
117,11-3021.00,Computer and Information Systems Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
118,11-3031.00,Financial Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.22,Nov-23,Machine Learning
119,11-3031.00,Financial Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.45,Nov-23,Machine Learning
120,11-3031.00,Financial Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.54,Nov-23,Machine Learning
121,11-3031.00,Financial Managers,1.B.1.d,Social,OI,Occupational Interests,2.93,Nov-23,Machine Learning
122,11-3031.00,Financial Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,Nov-23,Machine Learning
123,11-3031.00,Financial Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.7,Nov-23,Machine Learning
124,11-3031.00,Financial Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
125,11-3031.00,Financial Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
126,11-3031.00,Financial Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,Nov-23,Machine Learning
127,11-3031.01,Treasurers and Controllers,1.B.1.a,Realistic,OI,Occupational Interests,1,Nov-23,Machine Learning
128,11-3031.01,Treasurers and Controllers,1.B.1.b,Investigative,OI,Occupational Interests,2.4,Nov-23,Machine Learning
129,11-3031.01,Treasurers and Controllers,1.B.1.c,Artistic,OI,Occupational Interests,1.28,Nov-23,Machine Learning
130,11-3031.01,Treasurers and Controllers,1.B.1.d,Social,OI,Occupational Interests,2.7,Nov-23,Machine Learning
131,11-3031.01,Treasurers and Controllers,1.B.1.e,Enterprising,OI,Occupational Interests,6.22,Nov-23,Machine Learning
132,11-3031.01,Treasurers and Controllers,1.B.1.f,Conventional,OI,Occupational Interests,6.15,Nov-23,Machine Learning
133,11-3031.01,Treasurers and Controllers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
134,11-3031.01,Treasurers and Controllers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
135,11-3031.01,Treasurers and Controllers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,Nov-23,Machine Learning
136,11-3031.03,Investment Fund Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.66,Nov-23,Machine Learning
137,11-3031.03,Investment Fund Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.71,Nov-23,Machine Learning
138,11-3031.03,Investment Fund Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.47,Nov-23,Machine Learning
139,11-3031.03,Investment Fund Managers,1.B.1.d,Social,OI,Occupational Interests,2.56,Nov-23,Machine Learning
140,11-3031.03,Investment Fund Managers,1.B.1.e,Enterprising,OI,Occupational Interests,6.77,Nov-23,Machine Learning
141,11-3031.03,Investment Fund Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.25,Nov-23,Machine Learning
142,11-3031.03,Investment Fund Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
143,11-3031.03,Investment Fund Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
144,11-3031.03,Investment Fund Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
145,11-3051.00,Industrial Production Managers,1.B.1.a,Realistic,OI,Occupational Interests,4.23,Nov-23,Machine Learning
146,11-3051.00,Industrial Production Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.94,Nov-23,Machine Learning
147,11-3051.00,Industrial Production Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.33,Nov-23,Machine Learning
148,11-3051.00,Industrial Production Managers,1.B.1.d,Social,OI,Occupational Interests,1.83,Nov-23,Machine Learning
149,11-3051.00,Industrial Production Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.92,Nov-23,Machine Learning
150,11-3051.00,Industrial Production Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.29,Nov-23,Machine Learning
151,11-3051.00,Industrial Production Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
152,11-3051.00,Industrial Production Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
153,11-3051.00,Industrial Production Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
154,11-3051.01,Quality Control Systems Managers,1.B.1.a,Realistic,OI,Occupational Interests,3.6,Nov-23,Machine Learning
155,11-3051.01,Quality Control Systems Managers,1.B.1.b,Investigative,OI,Occupational Interests,4.02,Nov-23,Machine Learning
156,11-3051.01,Quality Control Systems Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.17,Nov-23,Machine Learning
157,11-3051.01,Quality Control Systems Managers,1.B.1.d,Social,OI,Occupational Interests,2.07,Nov-23,Machine Learning
158,11-3051.01,Quality Control Systems Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.05,Nov-23,Machine Learning
159,11-3051.01,Quality Control Systems Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.7,Nov-23,Machine Learning
160,11-3051.01,Quality Control Systems Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
161,11-3051.01,Quality Control Systems Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
162,11-3051.01,Quality Control Systems Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
163,11-3051.02,Geothermal Production Managers,1.B.1.a,Realistic,OI,Occupational Interests,5.35,Nov-23,Machine Learning
164,11-3051.02,Geothermal Production Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.35,Nov-23,Machine Learning
165,11-3051.02,Geothermal Production Managers,1.B.1.c,Artistic,OI,Occupational Interests,1,Nov-23,Machine Learning
166,11-3051.02,Geothermal Production Managers,1.B.1.d,Social,OI,Occupational Interests,2.07,Nov-23,Machine Learning
167,11-3051.02,Geothermal Production Managers,1.B.1.e,Enterprising,OI,Occupational Interests,4.58,Nov-23,Machine Learning
168,11-3051.02,Geothermal Production Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.82,Nov-23,Machine Learning
169,11-3051.02,Geothermal Production Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
170,11-3051.02,Geothermal Production Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
171,11-3051.02,Geothermal Production Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
172,11-3051.03,Biofuels Production Managers,1.B.1.a,Realistic,OI,Occupational Interests,4.59,Nov-23,Machine Learning
173,11-3051.03,Biofuels Production Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.74,Nov-23,Machine Learning
174,11-3051.03,Biofuels Production Managers,1.B.1.c,Artistic,OI,Occupational Interests,1,Nov-23,Machine Learning
175,11-3051.03,Biofuels Production Managers,1.B.1.d,Social,OI,Occupational Interests,1.83,Nov-23,Machine Learning
176,11-3051.03,Biofuels Production Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.41,Nov-23,Machine Learning
177,11-3051.03,Biofuels Production Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.06,Nov-23,Machine Learning
178,11-3051.03,Biofuels Production Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
179,11-3051.03,Biofuels Production Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
180,11-3051.03,Biofuels Production Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
181,11-3051.04,Biomass Power Plant Managers,1.B.1.a,Realistic,OI,Occupational Interests,5.12,Nov-23,Machine Learning
182,11-3051.04,Biomass Power Plant Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.19,Nov-23,Machine Learning
183,11-3051.04,Biomass Power Plant Managers,1.B.1.c,Artistic,OI,Occupational Interests,1,Nov-23,Machine Learning
184,11-3051.04,Biomass Power Plant Managers,1.B.1.d,Social,OI,Occupational Interests,1.72,Nov-23,Machine Learning
185,11-3051.04,Biomass Power Plant Managers,1.B.1.e,Enterprising,OI,Occupational Interests,4.86,Nov-23,Machine Learning
186,11-3051.04,Biomass Power Plant Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.34,Nov-23,Machine Learning
187,11-3051.04,Biomass Power Plant Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
188,11-3051.04,Biomass Power Plant Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
189,11-3051.04,Biomass Power Plant Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
190,11-3051.06,Hydroelectric Production Managers,1.B.1.a,Realistic,OI,Occupational Interests,5.37,Nov-23,Machine Learning
191,11-3051.06,Hydroelectric Production Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.64,Nov-23,Machine Learning
192,11-3051.06,Hydroelectric Production Managers,1.B.1.c,Artistic,OI,Occupational Interests,1,Nov-23,Machine Learning
193,11-3051.06,Hydroelectric Production Managers,1.B.1.d,Social,OI,Occupational Interests,1.83,Nov-23,Machine Learning
194,11-3051.06,Hydroelectric Production Managers,1.B.1.e,Enterprising,OI,Occupational Interests,4.57,Nov-23,Machine Learning
195,11-3051.06,Hydroelectric Production Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.02,Nov-23,Machine Learning
196,11-3051.06,Hydroelectric Production Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,Nov-23,Machine Learning
197,11-3051.06,Hydroelectric Production Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
198,11-3051.06,Hydroelectric Production Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
199,11-3061.00,Purchasing Managers,1.B.1.a,Realistic,OI,Occupational Interests,2.04,Nov-23,Machine Learning
200,11-3061.00,Purchasing Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.01,Nov-23,Machine Learning
201,11-3061.00,Purchasing Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.4,Nov-23,Machine Learning
202,11-3061.00,Purchasing Managers,1.B.1.d,Social,OI,Occupational Interests,2.77,Nov-23,Machine Learning
203,11-3061.00,Purchasing Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,Nov-23,Machine Learning
204,11-3061.00,Purchasing Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.55,Nov-23,Machine Learning
205,11-3061.00,Purchasing Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
206,11-3061.00,Purchasing Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
207,11-3061.00,Purchasing Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,Nov-23,Machine Learning
208,11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.a,Realistic,OI,Occupational Interests,3.6,Nov-23,Machine Learning
209,11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.b,Investigative,OI,Occupational Interests,2.64,Nov-23,Machine Learning
210,11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.c,Artistic,OI,Occupational Interests,1,Nov-23,Machine Learning
211,11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.d,Social,OI,Occupational Interests,2.39,Nov-23,Machine Learning
212,11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.e,Enterprising,OI,Occupational Interests,6,Nov-23,Machine Learning
213,11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.f,Conventional,OI,Occupational Interests,5.74,Nov-23,Machine Learning
214,11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
215,11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
216,11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,Nov-23,Machine Learning
217,11-3071.04,Supply Chain Managers,1.B.1.a,Realistic,OI,Occupational Interests,3.42,Nov-23,Machine Learning
218,11-3071.04,Supply Chain Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.55,Nov-23,Machine Learning
219,11-3071.04,Supply Chain Managers,1.B.1.c,Artistic,OI,Occupational Interests,1,Nov-23,Machine Learning
220,11-3071.04,Supply Chain Managers,1.B.1.d,Social,OI,Occupational Interests,2.05,Nov-23,Machine Learning
221,11-3071.04,Supply Chain Managers,1.B.1.e,Enterprising,OI,Occupational Interests,6.31,Nov-23,Machine Learning
222,11-3071.04,Supply Chain Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.4,Nov-23,Machine Learning
223,11-3071.04,Supply Chain Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
