PK,O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Relatedness Tier,Index
64,11-1031.00,Legislators,23-1011.00,Lawyers,Primary-Short,4
65,11-1031.00,Legislators,13-1075.00,Labor Relations Specialists,Primary-Short,5
66,11-1031.00,Legislators,11-3031.01,Treasurers and Controllers,Primary-Long,6
67,11-1031.00,Legislators,11-9033.00,"Education Administrators, Postsecondary",Primary-Long,7
68,11-1031.00,Legislators,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Primary-Long,8
69,11-1031.00,Legislators,27-3031.00,Public Relations Specialists,Primary-Long,9
70,11-1031.00,Legislators,13-1041.03,Equal Opportunity Representatives and Officers,Primary-Long,10
71,11-1031.00,Legislators,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Supplemental,11
72,11-1031.00,Legislators,11-9151.00,Social and Community Service Managers,Supplemental,12
73,11-1031.00,Legislators,21-1093.00,Social and Human Service Assistants,Supplemental,13
74,11-1031.00,Legislators,29-2099.08,Patient Representatives,Supplemental,14
75,11-1031.00,Legislators,23-1022.00,"Arbitrators, Mediators, and Conciliators",Supplemental,15
76,11-1031.00,Legislators,11-9032.00,"Education Administrators, Kindergarten through Secondary",Supplemental,16
77,11-1031.00,Legislators,25-1065.00,"Political Science Teachers, Postsecondary",Supplemental,17
78,11-1031.00,Legislators,21-2021.00,"Directors, Religious Activities and Education",Supplemental,18
79,11-1031.00,Legislators,11-1021.00,General and Operations Managers,Supplemental,19
80,11-1031.00,Legislators,43-4031.00,"Court, Municipal, and License Clerks",Supplemental,20
81,11-2011.00,Advertising and Promotions Managers,41-3011.00,Advertising Sales Agents,Primary-Short,1
82,11-2011.00,Advertising and Promotions Managers,11-2021.00,Marketing Managers,Primary-Short,2
83,11-2011.00,Advertising and Promotions Managers,13-1161.00,Market Research Analysts and Marketing Specialists,Primary-Short,3
84,11-2011.00,Advertising and Promotions Managers,13-1161.01,Search Marketing Strategists,Primary-Short,4
85,11-2011.00,Advertising and Promotions Managers,11-2032.00,Public Relations Managers,Primary-Short,5
86,11-2011.00,Advertising and Promotions Managers,11-2022.00,Sales Managers,Primary-Long,6
87,11-2011.00,Advertising and Promotions Managers,27-3031.00,Public Relations Specialists,Primary-Long,7
88,11-2011.00,Advertising and Promotions Managers,11-2033.00,Fundraising Managers,Primary-Long,8
89,11-2011.00,Advertising and Promotions Managers,13-1199.06,Online Merchants,Primary-Long,9
90,11-2011.00,Advertising and Promotions Managers,13-1131.00,Fundraisers,Primary-Long,10
91,11-2011.00,Advertising and Promotions Managers,27-3043.00,Writers and Authors,Supplemental,11
92,11-2011.00,Advertising and Promotions Managers,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental,12
93,11-2011.00,Advertising and Promotions Managers,15-2051.01,Business Intelligence Analysts,Supplemental,13
94,11-2011.00,Advertising and Promotions Managers,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Supplemental,14
95,11-2011.00,Advertising and Promotions Managers,13-1111.00,Management Analysts,Supplemental,15
96,11-2011.00,Advertising and Promotions Managers,27-1026.00,Merchandise Displayers and Window Trimmers,Supplemental,16
97,11-2011.00,Advertising and Promotions Managers,11-3061.00,Purchasing Managers,Supplemental,17
98,11-2011.00,Advertising and Promotions Managers,41-9041.00,Telemarketers,Supplemental,18
99,11-2011.00,Advertising and Promotions Managers,15-1299.01,Web Administrators,Supplemental,19
100,11-2011.00,Advertising and Promotions Managers,27-1011.00,Art Directors,Supplemental,20
101,11-2021.00,Marketing Managers,13-1161.00,Market Research Analysts and Marketing Specialists,Primary-Short,1
102,11-2021.00,Marketing Managers,11-2022.00,Sales Managers,Primary-Short,2
103,11-2021.00,Marketing Managers,11-2011.00,Advertising and Promotions Managers,Primary-Short,3
104,11-2021.00,Marketing Managers,13-1161.01,Search Marketing Strategists,Primary-Short,4
105,11-2021.00,Marketing Managers,15-2051.01,Business Intelligence Analysts,Primary-Short,5
106,11-2021.00,Marketing Managers,41-3011.00,Advertising Sales Agents,Primary-Long,6
107,11-2021.00,Marketing Managers,11-2032.00,Public Relations Managers,Primary-Long,7
108,11-2021.00,Marketing Managers,27-3031.00,Public Relations Specialists,Primary-Long,8
109,11-2021.00,Marketing Managers,11-3061.00,Purchasing Managers,Primary-Long,9
110,11-2021.00,Marketing Managers,13-1199.06,Online Merchants,Primary-Long,10
111,11-2021.00,Marketing Managers,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental,11
112,11-2021.00,Marketing Managers,13-1111.00,Management Analysts,Supplemental,12
113,11-2021.00,Marketing Managers,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Supplemental,13
114,11-2021.00,Marketing Managers,15-1299.09,Information Technology Project Managers,Supplemental,14
115,11-2021.00,Marketing Managers,13-2051.00,Financial and Investment Analysts,Supplemental,15
116,11-2021.00,Marketing Managers,13-1082.00,Project Management Specialists,Supplemental,16
117,11-2021.00,Marketing Managers,13-1081.00,Logisticians,Supplemental,17
118,11-2021.00,Marketing Managers,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Supplemental,18
119,11-2021.00,Marketing Managers,27-3043.00,Writers and Authors,Supplemental,19
120,11-2021.00,Marketing Managers,11-1021.00,General and Operations Managers,Supplemental,20
121,11-2022.00,Sales Managers,11-2021.00,Marketing Managers,Primary-Short,1
122,11-2022.00,Sales Managers,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Primary-Short,2
123,11-2022.00,Sales Managers,13-1161.00,Market Research Analysts and Marketing Specialists,Primary-Short,3
124,11-2022.00,Sales Managers,11-2011.00,Advertising and Promotions Managers,Primary-Short,4
125,11-2022.00,Sales Managers,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Primary-Short,5
126,11-2022.00,Sales Managers,11-3061.00,Purchasing Managers,Primary-Long,6
127,11-2022.00,Sales Managers,11-1021.00,General and Operations Managers,Primary-Long,7
128,11-2022.00,Sales Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Primary-Long,8
129,11-2022.00,Sales Managers,41-3011.00,Advertising Sales Agents,Primary-Long,9
130,11-2022.00,Sales Managers,41-1011.00,First-Line Supervisors of Retail Sales Workers,Primary-Long,10
131,11-2022.00,Sales Managers,13-1199.06,Online Merchants,Supplemental,11
132,11-2022.00,Sales Managers,13-1111.00,Management Analysts,Supplemental,12
133,11-2022.00,Sales Managers,15-2051.01,Business Intelligence Analysts,Supplemental,13
134,11-2022.00,Sales Managers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Supplemental,14
135,11-2022.00,Sales Managers,43-4051.00,Customer Service Representatives,Supplemental,15
136,11-2022.00,Sales Managers,13-1081.00,Logisticians,Supplemental,16
137,11-2022.00,Sales Managers,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Supplemental,17
138,11-2022.00,Sales Managers,11-1011.00,Chief Executives,Supplemental,18
139,11-2022.00,Sales Managers,43-4011.00,Brokerage Clerks,Supplemental,19
140,11-2022.00,Sales Managers,11-3012.00,Administrative Services Managers,Supplemental,20
141,11-2032.00,Public Relations Managers,27-3031.00,Public Relations Specialists,Primary-Short,1
142,11-2032.00,Public Relations Managers,11-2011.00,Advertising and Promotions Managers,Primary-Short,2
143,11-2032.00,Public Relations Managers,13-1161.00,Market Research Analysts and Marketing Specialists,Primary-Short,3
144,11-2032.00,Public Relations Managers,11-2021.00,Marketing Managers,Primary-Short,4
145,11-2032.00,Public Relations Managers,13-1111.00,Management Analysts,Primary-Short,5
146,11-2032.00,Public Relations Managers,11-2033.00,Fundraising Managers,Primary-Long,6
147,11-2032.00,Public Relations Managers,11-9151.00,Social and Community Service Managers,Primary-Long,7
148,11-2032.00,Public Relations Managers,11-3121.00,Human Resources Managers,Primary-Long,8
149,11-2032.00,Public Relations Managers,13-1161.01,Search Marketing Strategists,Primary-Long,9
150,11-2032.00,Public Relations Managers,11-1021.00,General and Operations Managers,Primary-Long,10
151,11-2032.00,Public Relations Managers,11-1011.00,Chief Executives,Supplemental,11
152,11-2032.00,Public Relations Managers,25-1122.00,"Communications Teachers, Postsecondary",Supplemental,12
153,11-2032.00,Public Relations Managers,11-3012.00,Administrative Services Managers,Supplemental,13
154,11-2032.00,Public Relations Managers,25-1011.00,"Business Teachers, Postsecondary",Supplemental,14
155,11-2032.00,Public Relations Managers,13-1071.00,Human Resources Specialists,Supplemental,15
156,11-2032.00,Public Relations Managers,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Supplemental,16
157,11-2032.00,Public Relations Managers,15-2051.01,Business Intelligence Analysts,Supplemental,17
158,11-2032.00,Public Relations Managers,41-3011.00,Advertising Sales Agents,Supplemental,18
159,11-2032.00,Public Relations Managers,11-2022.00,Sales Managers,Supplemental,19
160,11-2032.00,Public Relations Managers,13-1075.00,Labor Relations Specialists,Supplemental,20
161,11-2033.00,Fundraising Managers,13-1131.00,Fundraisers,Primary-Short,1
162,11-2033.00,Fundraising Managers,11-2032.00,Public Relations Managers,Primary-Short,2
163,11-2033.00,Fundraising Managers,27-3031.00,Public Relations Specialists,Primary-Short,3
164,11-2033.00,Fundraising Managers,11-2011.00,Advertising and Promotions Managers,Primary-Short,4
165,11-2033.00,Fundraising Managers,11-9151.00,Social and Community Service Managers,Primary-Short,5
166,11-2033.00,Fundraising Managers,13-1121.00,"Meeting, Convention, and Event Planners",Primary-Long,6
167,11-2033.00,Fundraising Managers,11-2021.00,Marketing Managers,Primary-Long,7
168,11-2033.00,Fundraising Managers,11-2022.00,Sales Managers,Primary-Long,8
169,11-2033.00,Fundraising Managers,11-3031.01,Treasurers and Controllers,Primary-Long,9
170,11-2033.00,Fundraising Managers,11-3031.00,Financial Managers,Primary-Long,10
171,11-2033.00,Fundraising Managers,11-1011.00,Chief Executives,Supplemental,11
172,11-2033.00,Fundraising Managers,11-3031.03,Investment Fund Managers,Supplemental,12
173,11-2033.00,Fundraising Managers,13-1111.00,Management Analysts,Supplemental,13
174,11-2033.00,Fundraising Managers,11-1011.03,Chief Sustainability Officers,Supplemental,14
175,11-2033.00,Fundraising Managers,11-1021.00,General and Operations Managers,Supplemental,15
176,11-2033.00,Fundraising Managers,13-2031.00,Budget Analysts,Supplemental,16
177,11-2033.00,Fundraising Managers,13-2052.00,Personal Financial Advisors,Supplemental,17
178,11-2033.00,Fundraising Managers,13-1161.00,Market Research Analysts and Marketing Specialists,Supplemental,18
179,11-2033.00,Fundraising Managers,15-1299.09,Information Technology Project Managers,Supplemental,19
180,11-2033.00,Fundraising Managers,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Supplemental,20
181,11-3012.00,Administrative Services Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Primary-Short,1
182,11-3012.00,Administrative Services Managers,11-1021.00,General and Operations Managers,Primary-Short,2
183,11-3012.00,Administrative Services Managers,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Primary-Short,3
184,11-3012.00,Administrative Services Managers,11-3013.00,Facilities Managers,Primary-Short,4
185,11-3012.00,Administrative Services Managers,13-1082.00,Project Management Specialists,Primary-Short,5
186,11-3012.00,Administrative Services Managers,15-1299.03,Document Management Specialists,Primary-Long,6
187,11-3012.00,Administrative Services Managers,11-9199.02,Compliance Managers,Primary-Long,7
188,11-3012.00,Administrative Services Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Primary-Long,8
189,11-3012.00,Administrative Services Managers,13-1071.00,Human Resources Specialists,Primary-Long,9
190,11-3012.00,Administrative Services Managers,11-3121.00,Human Resources Managers,Primary-Long,10
191,11-3012.00,Administrative Services Managers,13-1111.00,Management Analysts,Supplemental,11
192,11-3012.00,Administrative Services Managers,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Supplemental,12
193,11-3012.00,Administrative Services Managers,11-1011.00,Chief Executives,Supplemental,13
194,11-3012.00,Administrative Services Managers,43-9061.00,"Office Clerks, General",Supplemental,14
195,11-3012.00,Administrative Services Managers,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Supplemental,15
196,11-3012.00,Administrative Services Managers,11-9111.00,Medical and Health Services Managers,Supplemental,16
197,11-3012.00,Administrative Services Managers,15-1299.09,Information Technology Project Managers,Supplemental,17
198,11-3012.00,Administrative Services Managers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,Supplemental,18
199,11-3012.00,Administrative Services Managers,29-9021.00,Health Information Technologists and Medical Registrars,Supplemental,19
200,11-3012.00,Administrative Services Managers,43-3051.00,Payroll and Timekeeping Clerks,Supplemental,20
201,11-3013.00,Facilities Managers,11-1021.00,General and Operations Managers,Primary-Short,1
202,11-3013.00,Facilities Managers,49-9071.00,"Maintenance and Repair Workers, General",Primary-Short,2
203,11-3013.00,Facilities Managers,11-3012.00,Administrative Services Managers,Primary-Short,3
204,11-3013.00,Facilities Managers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,Primary-Short,4
205,11-3013.00,Facilities Managers,11-9021.00,Construction Managers,Primary-Short,5
206,11-3013.00,Facilities Managers,11-9141.00,"Property, Real Estate, and Community Association Managers",Primary-Long,6
207,11-3013.00,Facilities Managers,11-3071.00,"Transportation, Storage, and Distribution Managers",Primary-Long,7
208,11-3013.00,Facilities Managers,11-3051.00,Industrial Production Managers,Primary-Long,8
209,11-3013.00,Facilities Managers,47-4011.00,Construction and Building Inspectors,Primary-Long,9
210,11-3013.00,Facilities Managers,11-3013.01,Security Managers,Primary-Long,10
211,11-3013.00,Facilities Managers,17-2112.00,Industrial Engineers,Supplemental,11
212,11-3013.00,Facilities Managers,17-2051.00,Civil Engineers,Supplemental,12
213,11-3013.00,Facilities Managers,13-1111.00,Management Analysts,Supplemental,13
214,11-3013.00,Facilities Managers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Supplemental,14
215,11-3013.00,Facilities Managers,17-3022.00,Civil Engineering Technologists and Technicians,Supplemental,15
216,11-3013.00,Facilities Managers,11-9111.00,Medical and Health Services Managers,Supplemental,16
217,11-3013.00,Facilities Managers,17-2081.00,Environmental Engineers,Supplemental,17
218,11-3013.00,Facilities Managers,13-1082.00,Project Management Specialists,Supplemental,18
219,11-3013.00,Facilities Managers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,Supplemental,19
220,11-3013.00,Facilities Managers,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Supplemental,20
221,11-3013.01,Security Managers,13-1199.07,Security Management Specialists,Primary-Short,1
222,11-3013.01,Security Managers,33-1091.00,First-Line Supervisors of Security Workers,Primary-Short,2
223,11-3013.01,Security Managers,33-9032.00,Security Guards,Primary-Short,3
224,11-3013.01,Security Managers,11-9199.02,Compliance Managers,Primary-Short,4
225,11-3013.01,Security Managers,13-1111.00,Management Analysts,Primary-Short,5
226,11-3013.01,Security Managers,11-9161.00,Emergency Management Directors,Primary-Long,6
227,11-3013.01,Security Managers,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Primary-Long,7
228,11-3013.01,Security Managers,19-5011.00,Occupational Health and Safety Specialists,Primary-Long,8
229,11-3013.01,Security Managers,13-1199.04,Business Continuity Planners,Primary-Long,9
230,11-3013.01,Security Managers,11-3013.00,Facilities Managers,Primary-Long,10
231,11-3013.01,Security Managers,15-1299.05,Information Security Engineers,Supplemental,11
232,11-3013.01,Security Managers,15-1212.00,Information Security Analysts,Supplemental,12
233,11-3013.01,Security Managers,15-1299.04,Penetration Testers,Supplemental,13
234,11-3013.01,Security Managers,11-3021.00,Computer and Information Systems Managers,Supplemental,14
235,11-3013.01,Security Managers,33-9099.02,Retail Loss Prevention Specialists,Supplemental,15
236,11-3013.01,Security Managers,49-2098.00,Security and Fire Alarm Systems Installers,Supplemental,16
237,11-3013.01,Security Managers,11-3012.00,Administrative Services Managers,Supplemental,17
238,11-3013.01,Security Managers,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,Supplemental,18
239,11-3013.01,Security Managers,11-1011.00,Chief Executives,Supplemental,19
240,11-3013.01,Security Managers,15-1211.00,Computer Systems Analysts,Supplemental,20
241,11-3021.00,Computer and Information Systems Managers,15-1252.00,Software Developers,Primary-Short,1
242,11-3021.00,Computer and Information Systems Managers,15-1211.00,Computer Systems Analysts,Primary-Short,2
243,11-3021.00,Computer and Information Systems Managers,13-1082.00,Project Management Specialists,Primary-Short,3
244,11-3021.00,Computer and Information Systems Managers,15-1299.08,Computer Systems Engineers/Architects,Primary-Short,4
245,11-3021.00,Computer and Information Systems Managers,15-1299.05,Information Security Engineers,Primary-Short,5
246,11-3021.00,Computer and Information Systems Managers,15-1299.09,Information Technology Project Managers,Primary-Long,6
247,11-3021.00,Computer and Information Systems Managers,15-1243.00,Database Architects,Primary-Long,7
248,11-3021.00,Computer and Information Systems Managers,15-1242.00,Database Administrators,Primary-Long,8
249,11-3021.00,Computer and Information Systems Managers,15-1244.00,Network and Computer Systems Administrators,Primary-Long,9
250,11-3021.00,Computer and Information Systems Managers,15-1241.00,Computer Network Architects,Primary-Long,10
251,11-3021.00,Computer and Information Systems Managers,13-1111.00,Management Analysts,Supplemental,11
252,11-3021.00,Computer and Information Systems Managers,15-1212.00,Information Security Analysts,Supplemental,12
253,11-3021.00,Computer and Information Systems Managers,25-1021.00,"Computer Science Teachers, Postsecondary",Supplemental,13
254,11-3021.00,Computer and Information Systems Managers,15-1251.00,Computer Programmers,Supplemental,14
255,11-3021.00,Computer and Information Systems Managers,13-1199.07,Security Management Specialists,Supplemental,15
256,11-3021.00,Computer and Information Systems Managers,17-2061.00,Computer Hardware Engineers,Supplemental,16
257,11-3021.00,Computer and Information Systems Managers,11-3013.01,Security Managers,Supplemental,17
258,11-3021.00,Computer and Information Systems Managers,15-1253.00,Software Quality Assurance Analysts and Testers,Supplemental,18
259,11-3021.00,Computer and Information Systems Managers,15-1231.00,Computer Network Support Specialists,Supplemental,19
260,11-3021.00,Computer and Information Systems Managers,15-1299.03,Document Management Specialists,Supplemental,20
261,11-3031.00,Financial Managers,13-2051.00,Financial and Investment Analysts,Primary-Short,1
262,11-3031.00,Financial Managers,13-2011.00,Accountants and Auditors,Primary-Short,2
263,11-3031.00,Financial Managers,13-2052.00,Personal Financial Advisors,Primary-Short,3
264,11-3031.00,Financial Managers,13-2041.00,Credit Analysts,Primary-Short,4
265,11-3031.00,Financial Managers,13-2072.00,Loan Officers,Primary-Short,5
266,11-3031.00,Financial Managers,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Primary-Long,6
267,11-3031.00,Financial Managers,13-2061.00,Financial Examiners,Primary-Long,7
268,11-3031.00,Financial Managers,11-3031.03,Investment Fund Managers,Primary-Long,8
269,11-3031.00,Financial Managers,13-2054.00,Financial Risk Specialists,Primary-Long,9
270,11-3031.00,Financial Managers,11-3031.01,Treasurers and Controllers,Primary-Long,10
271,11-3031.00,Financial Managers,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Supplemental,11
272,11-3031.00,Financial Managers,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Supplemental,12
273,11-3031.00,Financial Managers,43-4141.00,New Accounts Clerks,Supplemental,13
274,11-3031.00,Financial Managers,13-1111.00,Management Analysts,Supplemental,14
275,11-3031.00,Financial Managers,13-2071.00,Credit Counselors,Supplemental,15
276,11-3031.00,Financial Managers,13-2031.00,Budget Analysts,Supplemental,16
277,11-3031.00,Financial Managers,43-4011.00,Brokerage Clerks,Supplemental,17
278,11-3031.00,Financial Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Supplemental,18
279,11-3031.00,Financial Managers,11-3012.00,Administrative Services Managers,Supplemental,19
280,11-3031.00,Financial Managers,11-1011.00,Chief Executives,Supplemental,20
281,11-3031.01,Treasurers and Controllers,13-2011.00,Accountants and Auditors,Primary-Short,1
282,11-3031.01,Treasurers and Controllers,13-2061.00,Financial Examiners,Primary-Short,2
283,11-3031.01,Treasurers and Controllers,11-1011.00,Chief Executives,Primary-Short,3
284,11-3031.01,Treasurers and Controllers,13-2031.00,Budget Analysts,Primary-Short,4
285,11-3031.01,Treasurers and Controllers,11-3031.00,Financial Managers,Primary-Short,5
286,11-3031.01,Treasurers and Controllers,11-3031.03,Investment Fund Managers,Primary-Long,6
287,11-3031.01,Treasurers and Controllers,13-1111.00,Management Analysts,Primary-Long,7
288,11-3031.01,Treasurers and Controllers,11-1021.00,General and Operations Managers,Primary-Long,8
289,11-3031.01,Treasurers and Controllers,13-2052.00,Personal Financial Advisors,Primary-Long,9
290,11-3031.01,Treasurers and Controllers,13-2051.00,Financial and Investment Analysts,Primary-Long,10
291,11-3031.01,Treasurers and Controllers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Supplemental,11
292,11-3031.01,Treasurers and Controllers,11-3012.00,Administrative Services Managers,Supplemental,12
293,11-3031.01,Treasurers and Controllers,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Supplemental,13
294,11-3031.01,Treasurers and Controllers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Supplemental,14
295,11-3031.01,Treasurers and Controllers,43-3051.00,Payroll and Timekeeping Clerks,Supplemental,15
296,11-3031.01,Treasurers and Controllers,13-1082.00,Project Management Specialists,Supplemental,16
297,11-3031.01,Treasurers and Controllers,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Supplemental,17
298,11-3031.01,Treasurers and Controllers,13-2041.00,Credit Analysts,Supplemental,18
299,11-3031.01,Treasurers and Controllers,11-3111.00,Compensation and Benefits Managers,Supplemental,19
300,11-3031.01,Treasurers and Controllers,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Supplemental,20
